# Orbital parameters of Jovian Satellites
# Name,a / Jovian Radii,T / days
Metis,1.79,0.294779
Adrastea,1.80,0.298260
Amalthea,2.54,0.498179
Thebe,3.11,0.6745
Io,5.91,1.769138
Europa,9.40,3.551181
Ganymede,14.97,7.154553
Callisto,26.33,16.689018
Themisto,105.00,130.02
Leda,156.2,240.92
Himalia,160.3,250.5662
Lysithea,163.9,259.22
Elara,164.2,259.6528
S/2000 J11,175.7,287.0
Carpo,237.6,456.1
Euporie,271.2,553.1
Orthosie,289.8,622.6
Euanthe,290.9,620.6
Thyone,292.9,627.3
Mneme,294.7,620.0
Harpalyke,295.3,623.3
Hermippe,295.6,633.9
Praxidike,295.8,625.3
Thelxinoe,296.0,628.1
Helike,297.4,634.8
Iocaste,297.5,631.5
Ananke,297.7,629.8
Eurydome,319.9,717.3
Arche,320.7,723.9
Autonoe,322.3,762.7
Herse,323.1,715.4
Pasithee,323.1,716.3
Chaldene,324.2,723.8
Kale,324.8,729.5
Isonoe,324.8,725.5
Aitne,324.9,730.2
Erinome,325.6,728.3
Taygete,326.7,732.2
Carme,327.3,734.2
Sponde,328.6,748.3
Kalyke,329.8,743.0
Pasiphae,330.4,743.6
Eukelade,330.9,746.4
Megaclite,333.0,752.8
Sinope,334.9,758.9
Hegemone,335.0,739.6
Aoede,335.4,761.5
Kallichore,336.3,764.7
Callirrhoe,337.1,758.8
Cyllene,340.6,737.8
Kore,343.3,779.2
