EDUCACION 27.382 28.939 5,7 1.556 13,4
DEFENSA Y POLICIA 27.959 28.283 1,2 323 13,1
TRABAJO 24.422 26.589 8,9 2.167 12,3
SALUD Y PROTECCION SOCIAL 18.162 18.998 4,6 836 8,8
HACIENDA 13.917 16.123 15,8 2.205 7,5
INCLUSION SOCIAL Y RECONCILIACION 9.469 9.972 5,3 503 4,6
TRANSPORTE 8.069 7.009 (13,1) (1.060) 3,2
AGROPECUARIO 4.193 4.499 7,3 306 2,1
VIVIENDA, CIUDAD Y TERRITORIO 3.698 3.850 4,1 152 1,8
MINAS Y ENERGIA 3.146 3.628 15,3 482 1,7
RAMA JUDICIAL 2.940 3.323 13,1 384 1,5
FISCALIA 2.767 3.158 14,1 391 1,5
JUSTICIA Y DEL DERECHO 2.659 2.612 (1,8) (47) 1,2
COMUNICACIONES 2.092 1.811 (13,4) (281) 0,8
ORGANISMOS DE CONTROL 1.441 1.499 4,1 59 0,7
PLANEACION 877 925 5,6 49 0,4
INTERIOR 917 814 (11,2) (103) 0,4
COMERCIO, INDUSTRIA Y TURISMO 905 797 (12,0) (108) 0,4
RELACIONES EXTERIORES 663 694 4,6 30 0,3
AMBIENTE Y DESARROLLO SOSTENIBLE 624 548 (12,1) (75) 0,3
PRESIDENCIA DE LA REPUBLICA 606 482 (20,5) (124) 0,2
REGISTRADURIA 1.120 425 (62,1) (696) 0,2
CONGRESO DE LA REPUBLICA 496 421 (15,2) (76) 0,2
INFORMACION ESTADISTICA 587 405 (31,0) (182) 0,2
CIENCIA Y TECNOLOGIA 378 379 0,1 1 0,2
CULTURA 397 367 (7,8) (31) 0,2
DEPORTE Y RECREACION 357 349 (2,1) (7) 0,2
EMPLEO PUBLICO 234 259 11,0 26 0,1
INTELIGENCIA 178 97 (45,3) (81) 0,0
TOTAL PGN SIN DEUDA 160.657 167.255 4,1 6.598 77,4
DEUDA 42.452 48.903 15,2 6.451 22,6
TOTAL PGN 203.109 216.158 6,4 13.049 100,0
