NAME,MSINI,RA,DEC,A,PER,ECC,OM,T0,MSTAR,STAR,RSTAR,TEFF
Kepler-107 d,,19.80188056,48.20861111,0.0780099,7.958203,,90,2454970.8,,Kepler-107,1.411,5851
WASP-14 b,7.65457,14.55176528,21.89469444,0.0367693,2.243752,0.091,253.371,2454462.33,1.31,WASP-14,1.31,6475
Kepler-50 b,,19.20672694,50.03372222,0.0825598,7.8125124,,,,1.23,Kepler-50,1.88,6058
NN Ser d,0.642621,15.88225861,12.91238889,3.70596,2605,0.05,152,2458029,,NN Ser,,
Kepler-20 b,0.0266149,19.17986778,42.33869444,0.0453704,3.6961219,0,79.2157,2454966.34,0.912,Kepler-20,0.944,5466
HAT-P-27 b,0.615135,14.85116361,5.947361111,0.0399488,3.039577,0,90,2455407.909,0.92,HAT-P-27,0.87,5190
Kepler-181 b,,19.74343056,50.09581111,0.0419466,3.137873,,90,2454966.556,,Kepler-181,0.749,5333
HD 116029 b,1.9075,13.34431944,24.648825,1.64869,670,0,40,2455220,1.33,HD 116029,5.04235,4811
Kepler-207 b,,19.33536944,42.16605,0.0269045,1.611865,,90,2454966.57,,Kepler-207,1.588,5920
HD 219828 b,0.0622185,23.31298333,18.64571389,0.0515012,3.8334999,0,0,2453898.629,1.24,HD 219828,1.4682,5891
Kepler-11 c,,19.80767278,41.90911111,0.106909,13.0241,0.0256125,51.3402,2455582.016,0.961,Kepler-11,1.065,5663
HD 1237 b,3.3748,0.269788889,-79.85104167,0.494668,133.71001,0.511,290.7,2451545.86,0.9,HD 1237,0.858011,5536
WASP-21 b,0.300201,23.16618167,18.39605556,0.0521087,4.322482,0,90,2454743.042,1.01,WASP-21,1.06,5800
Kepler-284 c,,19.5431,47.72965,0.219317,37.514456,,90,2455022.301,,Kepler-284,0.814,5615
Kepler-186 c,,19.91018056,43.95501944,0.0574114,7.267302,0.03,270,2455003.681,0.478,Kepler-186,0.472,3788
HD 4308 b,0.0477376,0.744177778,-65.64771667,0.119192,15.56,0,359,2453314.7,0.933,HD 4308,0.82259,5695
Kepler-239 b,,19.61348056,40.66341111,0.101225,11.763051,,90,2455013.936,,Kepler-239,0.763,4914
Kepler-174 b,,19.16261111,43.83208889,0.113583,13.98179,,90,2455014.974,,Kepler-174,0.622,4880
Kepler-224 d,,19.39561944,47.3576,0.0988375,11.349393,,90,2454967.316,,Kepler-224,0.676,5018
Kepler-389 c,,19.464,44.90001944,0.116434,14.51143,,90,2454976.86,,Kepler-389,0.792,5376
Kepler-254 c,,19.21098056,45.81651111,0.104915,12.412183,,90,2454975.539,,Kepler-254,0.91,5957
Kepler-236 c,,18.92443056,39.89808056,0.162691,23.968127,,90,2455019.217,,Kepler-236,0.51,3750
WASP-25 b,0.578118,13.02399278,-27.52219444,0.0473714,3.764825,0,90,2455274.996,1,WASP-25,0.92,5750
Kepler-186 d,,19.91018056,43.95501944,0.0860831,13.342996,0.03,270,2455003.233,0.478,Kepler-186,0.472,3788
HD 24040 b,4.02189,3.839694444,17.47698056,4.92406,3668,0.04,154,2454308,1.18,HD 24040,1.15444,5852.73
Kepler-359 c,,19.55291111,42.19635,0.292189,57.68802,,90,2454972.941,,Kepler-359,1.086,6248
Kepler-211 c,,19.02928056,43.16848056,0.0649112,6.04045,,90,2455005.594,,Kepler-211,0.816,5123
Kepler-294 c,,19.15946944,46.05931111,0.0690438,6.6264,,90,2455016.988,,Kepler-294,0.976,5913
Kepler-263 c,,19.49798056,37.56778889,0.256083,47.332773,,90,2454984.41,,Kepler-263,0.785,5265
Kepler-349 b,,19.57843056,44.61558056,0.0641159,5.929778,,90,2454968.491,,Kepler-349,0.927,5956
HD 200964 b,1.94873,21.11105278,3.802997222,1.64347,613.8,0.04,288,2454900,1.57,HD 200964,3.80029,5082
HD 147018 b,2.12711,16.38343611,-61.68799444,0.238855,44.236,0.4686,335.97,2454459.49,0.927,HD 147018,1.05268,5441
HD 218566 b,0.212872,23.15287778,-2.260508334,0.687282,225.7,0.3,36,2450360,0.85,HD 218566,0.590728,4820
HD 45364 b,0.187149,6.427344444,-31.480925,0.68156,226.93,0.1684,162.58,2453535.817,0.82,HD 45364,1.02464,5434
Kepler-361 b,,19.7869,46.74115,0.081426,8.486616,,90,2454971.017,,Kepler-361,1.343,6169
Kepler-318 c,,19.89885,46.79361944,0.101523,11.815007,,90,2454966.09,,Kepler-318,1.189,5746
Kepler-372 b,,19.41708056,49.25895,0.0705863,6.849692,,90,2454967.681,,Kepler-372,1.137,6509
Kepler-197 e,,19.68176111,50.55898056,0.168262,25.209715,,90,2454987.413,,Kepler-197,1.12,6004
HD 141937 b,9.4752,15.871525,-18.43612222,1.50087,653.21997,0.41,187.72,2451847.38,1.048,HD 141937,1.06384,5846.82
Kepler-405 c,,19.4273,38.34001944,0.187804,29.726682,,90,2456560.204,,Kepler-405,0.893,5818
Kepler-104 d,,19.17363889,42.16678056,0.271796,51.755394,,90,2455104.086,,Kepler-104,1.349,5711
Kepler-26 d,,18.99606944,46.56653889,0.0454914,3.543919,,90,2454969.259,,Kepler-26,0.571,4486
Kepler-159 b,,19.80468056,40.86878889,0.0916828,10.139623,,90,2455011.449,,Kepler-159,0.663,4625
HD 156668 b,0.0130582,17.29459444,29.2267,0.0499846,4.6455,0,90,2454718.57,0.772,HD 156668,0.728691,4850
Kepler-32 f,,19.85616028,46.57425,0.0130732,0.74296,0,90,2454965.54,0.54,Kepler-32,0.53,3793
WASP-103 b,1.48481,16.62099167,7.183352778,0.0198682,0.925542,0,90,2456459.6,1.22,WASP-103,1.436,6110
Kepler-221 e,,19.77698056,46.83526944,0.136253,18.369917,,90,2454964.86,,Kepler-221,0.821,5243
Kepler-256 c,,19.50536111,46.09738889,0.0441473,3.38802,,90,2455003.532,,Kepler-256,1.301,5551
GJ 649 b,0.325341,16.96914444,25.74539444,1.13179,598.3,0.3,352,2452876,0.54,GJ 649,,3700
Kepler-276 b,,19.57121111,39.03631944,0.114376,14.12841,,90,2454975.895,,Kepler-276,1.046,6105
Kepler-264 c,,19.46963889,37.37623889,0.52792,140.101261,,90,2455049.221,,Kepler-264,1.55,6158
HD 132406 b,5.60495,14.94851944,53.38285,1.98227,974,0.34,214,2453474,1.09,HD 132406,,5885
